
                                      CodeAnalysis - Version 1.4
    ==============================================================================================
     Thu Mar  9 19:39:45 2017
     Path: "K:\OOD\Proj2\CodeAnalyzerEx\XmlDocument"
     Args: *.h, *.cpp, *.cs, /m, /f, /r, -DEPXMl, ..\..\XMLInputFiles/DependencyTable.xml, -SCCXML, ..\..\XMLInputFiles/Scc.xml
                                                                               
           Code Metrics - Start Line, Size (lines/code), and Complexity (number of scopes)
    ==============================================================================================

                 file name        type                               name    line    size    cplx
            XmlElement.cpp    function                 makeCommentElement      36       4       1
            XmlElement.cpp    function               makeProcInstrElement      42       4       1
            XmlElement.cpp    function               makeXmlDeclarElement      48       4       1
            XmlElement.cpp    function                              title     323       4       1
            XmlElement.cpp    function                         DocElement      58       7       1
            XmlElement.cpp    function                         hasXmlRoot      67       8       2
            XmlElement.cpp    function                           addChild      77      24       3
            XmlElement.cpp    function                        removeChild     103       9       2
            XmlElement.cpp    function                              value     112       2       1
            XmlElement.cpp    function                           toString     116       6       1
            XmlElement.cpp    function                           toString     199       6       1
            XmlElement.cpp    function                           addChild     126       4       1
            XmlElement.cpp    function                        removeChild     132       9       2
            XmlElement.cpp    function                          addAttrib     143       5       1
            XmlElement.cpp    function                          getAttrib     150      10       3
            XmlElement.cpp    function                       removeAttrib     162      11       3
            XmlElement.cpp    function                              value     173       2       1
            XmlElement.cpp    function                           toString     177      18       2
            XmlElement.cpp    function                           toString     311       8       1
            XmlElement.cpp    function                          addAttrib     209       5       1
            XmlElement.cpp    function                          getAttrib     216      10       3
            XmlElement.cpp    function                       removeAttrib     228      11       3
            XmlElement.cpp    function                           toString     241      15       2
            XmlElement.cpp    function                           toString     260      15       2
            XmlElement.cpp    function                          addAttrib     277       5       1
            XmlElement.cpp    function                          getAttrib     284      10       3
            XmlElement.cpp    function                       removeAttrib     296      11       3
            XmlElement.cpp    function                               main     330      14       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
               XmlParser.h   namespace                      XmlProcessing      63      47      52
               XmlParser.h       class                          XmlParser      66      35      51
               XmlParser.h    function                               good     100       2       1
               XmlParser.h    function                         attributes     101       2       1
               XmlParser.h    function                            verbose     103       6       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
             XmlParser.cpp    function                   textFileToString      24       8       1
             XmlParser.cpp    function                           compress      34      39       8
             XmlParser.cpp    function                        enquoteText      75      14       2
             XmlParser.cpp    function                        dequoteText      91       7       1
             XmlParser.cpp    function                          XmlParser     100       9       1
             XmlParser.cpp    function                  extractAttributes     111      12       3
             XmlParser.cpp    function                     showAttributes     125       8       2
             XmlParser.cpp    function                    createXmlDeclar     135      17       3
             XmlParser.cpp    function                    createProcInstr     154      17       3
             XmlParser.cpp    function                      createComment     173      18       3
             XmlParser.cpp    function                   createTaggedElem     193      18       3
             XmlParser.cpp    function                     createTextElem     213      11       2
             XmlParser.cpp    function                     processEndElem     226       7       2
             XmlParser.cpp    function                      processMarkup     235      38       7
             XmlParser.cpp    function                        processText     275       5       1
             XmlParser.cpp    function                      buildDocument     282      25       4
             XmlParser.cpp    function                               main     311      14       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
          itokcollection.h      struct                     ITokCollection      34      13       2
          itokcollection.h    function                    ~ITokCollection      44       1       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
         xmlElementParts.h       class                           XmlParts      66      22      23
         xmlElementParts.h    function                           XmlParts      87       2       1
         xmlElementParts.h    function                             length      88       2       1
         xmlElementParts.h    function                            verbose      89       2       1
         xmlElementParts.h    function                              clear      90       2       1
         xmlElementParts.h    function                          push_back      93       3       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
       xmlElementParts.cpp    function                           XmlParts      15       2       1
       xmlElementParts.cpp    function                          ~XmlParts      19       2       1
